id,price,sq_foot,bedrooms,neighborhood_approx,detail,
paxton 365,1369,640,1,ballpark,,"sugar house or anywhere north of that. Liberty park, central city, capital hill"
paxton 366,1593,920,2,ballpark,,sugar house
the marq,1710,882,1,ballpark,,liberty park
the marq,2090,1191,2,ballpark,,central city
axis 739,1375,1081,2,ballpark,,capital hill
axis 739,1399,1346,2,ballpark,,
axis 739,1600,1201,2,ballpark,,
the vue at sugarhouse crossing,1250,668,1,sugar_house,,
the vue at sugarhouse crossing,1399,878,1,sugar_house,,
the vue at sugarhouse crossing,1425,792,1,sugar_house,,
the vue at sugarhouse crossing,1699,1038,2,sugar_house,,
the vue at sugarhouse crossing,1699,973,2,sugar_house,,
the vue at sugarhouse crossing,1750,1015,2,sugar_house,,
1985 south 1200 east,1095,600,1,sugar_house,,
1985 south 1200 east,1395,950,2,sugar_house,,
irving schoolhouse,1267,789,1,sugar_house,,
irving schoolhouse,1299,709,1,sugar_house,,
irving schoolhouse,1459,883,1,sugar_house,,
irving schoolhouse,1460,1014,2,sugar_house,,
irving schoolhouse,1629,1156,2,sugar_house,,
1988 s 1100 e,2100,1200,2,sugar_house,,
property in sugar house,3399,,2,sugar_house,,
property in sugar house,2845,,2,sugar_house,,
century,1100,430,1,sugar_house,,
century,1249,595,1,sugar_house,,
century,1525,750,2,sugar_house,,
1150 E garfield,1195,750,2,sugar_house,,
2564 s 700 e,1300,1100,2,sugar_house,,
770 e stratford,895,875,2,sugar_house,,
2665 s highland,,,2,sugar_house,,
the zeller,1315,602,1,ballpark,,
the zeller,1425,935,1,ballpark,,
the zeller,1575,1079,1,ballpark,,
the zeller,2100,1236,2,ballpark,,
moda s line,1900,1365,2,ballpark,,
moda s line,2000,1426,3,ballpark,,
