name,lon,lat,date
Ljubljana,14.5058,46.0569,NA
LakeBled,14.115481,46.368607,NA
Ljubljana,14.5058,46.0569,NA
Zagreb,15.96958,45.81209,NA
NoviSad,19.829216,45.250541,NA
Belgrade,20.4573,44.7872,NA
Uzice,19.841502,43.856662,NA
BajinaBasta,19.56262,43.97706,7/14/2026
Uzice,19.841502,43.856662,NA
Belgrade,20.4573,44.7872,NA
Nis,21.8958,43.3209,NA
Pristina,21.1655,42.6629,NA
Prizren,20.7397,42.2153,NA
Skopje,21.43,41.9973,NA
Ohrid,20.8164,41.12162,NA
Tirana,19.8187,41.3275,NA
Podgorica,19.256478,42.444765,NA
Kotor,18.77,42.4247,NA
Petrovac,18.941031,42.206499,7/10/2026
Podgorica,19.256478,42.444765,NA
Mostar,17.815,43.3438,NA
Sarajevo,18.4131,43.8564,NA
Belgrade,20.4573,44.7872,NA
Cacak,20.355183,43.89727,NA
Guca,20.22337,43.7792,8/8/2026
Cacak,20.355183,43.89727,NA
Belgrade,20.4573,44.7872,NA
Nis,21.8958,43.3209,NA
Sofia,23.3219,42.6977,NA
Plovdiv,24.7489,42.1354,NA
RilaMonastery ,23.3935,42.1369,NA
Dupnitsa,23.1167,42.2667,NA
Thessaloniki,22.9444,40.6401,NA
